Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
-30.59828,22.85676,1147.4,0,
-30.598248,22.856854,1147.2,0.01,
-30.598216,22.856948,1146.9,0.019,
-30.598184,22.857043,1146.7,0.029,
-30.598151,22.857137,1146.5,0.039,
-30.598119,22.857231,1146.3,0.049,
-30.598087,22.857325,1146.1,0.058,-2
-30.598055,22.85742,1146,0.068,-2
-30.598023,22.857514,1145.8,0.078,-2
-30.597991,22.857608,1145.7,0.087,-2
-30.597959,22.857702,1145.5,0.097,-2
-30.597926,22.857797,1145.5,0.107,-2
-30.597894,22.857891,1145.5,0.117,-2
-30.597862,22.857985,1145.6,0.126,-1
-30.59783,22.858079,1145.7,0.136,-1
-30.597798,22.858174,1145.7,0.146,-1
-30.597766,22.858268,1145.8,0.155,0
-30.597733,22.858362,1145.9,0.165,0
-30.597701,22.858456,1146,0.175,0
-30.597669,22.858551,1145.9,0.185,0
-30.597637,22.858645,1145.7,0.194,0
-30.597605,22.858739,1145.6,0.204,0
-30.597573,22.858833,1145.4,0.214,0
-30.597541,22.858928,1145.3,0.223,0
-30.597508,22.859022,1145.3,0.233,0
-30.597476,22.859116,1145.2,0.243,0
-30.597444,22.85921,1145.4,0.253,0
-30.597412,22.859305,1145.6,0.262,0
-30.59738,22.859399,1145.7,0.272,0
-30.597348,22.859493,1145.9,0.282,0
-30.597316,22.859587,1146.1,0.291,0
-30.597283,22.859682,1146.3,0.301,1
-30.597251,22.859776,1146.5,0.311,1
-30.597219,22.85987,1146.5,0.321,1
-30.597187,22.859964,1146.5,0.33,1
-30.597155,22.860058,1146.4,0.34,1
-30.597123,22.860153,1146.3,0.35,1
-30.59709,22.860247,1146.3,0.359,1
-30.597058,22.860341,1146.2,0.369,1
-30.597026,22.860435,1146.1,0.379,0
-30.596994,22.86053,1146,0.389,0
-30.596962,22.860624,1146,0.398,0
-30.59693,22.860718,1146,0.408,0
-30.596898,22.860812,1146,0.418,0
-30.596865,22.860907,1146.1,0.427,0
-30.596833,22.861001,1146.1,0.437,0
-30.596801,22.861095,1146.2,0.447,0
-30.596769,22.861189,1146.2,0.457,0
-30.596737,22.861284,1146.4,0.466,0
-30.596705,22.861378,1146.5,0.476,0
-30.596673,22.861472,1146.6,0.486,1
-30.59664,22.861566,1146.7,0.495,1
-30.596608,22.861661,1146.8,0.505,1
-30.596576,22.861755,1146.9,0.515,1
-30.596544,22.861849,1147,0.525,1
-30.596512,22.861943,1146.9,0.534,1
-30.59648,22.862038,1146.8,0.544,1
-30.596447,22.862132,1146.7,0.554,1
-30.596415,22.862226,1146.6,0.563,0
-30.596383,22.86232,1146.5,0.573,0
-30.596351,22.862414,1146.3,0.583,0
-30.596319,22.862509,1146.2,0.593,0
-30.596287,22.862603,1146,0.602,-1
-30.596255,22.862697,1145.8,0.612,-1
-30.596222,22.862791,1145.6,0.622,-1
-30.59619,22.862886,1145.5,0.631,-1
-30.596158,22.86298,1145.4,0.641,-1
-30.596126,22.863074,1145.2,0.651,-1
-30.596094,22.863168,1145.1,0.661,-2
-30.596062,22.863263,1145,0.67,-1
-30.596029,22.863357,1145.1,0.68,-1
-30.595997,22.863451,1145.2,0.69,-1
-30.595965,22.863545,1145.3,0.699,-1
-30.595933,22.86364,1145.3,0.709,-1
-30.595901,22.863734,1145.4,0.719,0
-30.595869,22.863828,1145.4,0.729,0
-30.595837,22.863922,1145.4,0.738,0
-30.595804,22.864017,1145.2,0.748,0
-30.595772,22.864111,1145,0.758,0
-30.59574,22.864205,1144.9,0.767,0
-30.595708,22.864299,1144.7,0.777,0
-30.595676,22.864393,1144.5,0.787,-1
-30.595644,22.864488,1144.3,0.797,-1
-30.595611,22.864582,1144.1,0.806,-1
-30.595579,22.864676,1144,0.816,-1
-30.595547,22.86477,1144,0.826,-1
-30.595515,22.864865,1144,0.835,-1
-30.595483,22.864959,1144,0.845,-1
-30.595451,22.865053,1144,0.855,-1
-30.595419,22.865147,1144,0.865,-1
-30.595386,22.865242,1144,0.874,-1
-30.595354,22.865336,1144,0.884,-1
-30.595322,22.86543,1144,0.894,0
-30.59529,22.865524,1144,0.903,0
-30.595258,22.865619,1144,0.913,0
-30.595226,22.865713,1144,0.923,0
