Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
21.13505,79.71182,252.3,0,
21.13521,79.71246,253.1,0.069,
21.135325,79.712955,253.3,0.122,
21.13544,79.71345,253.1,0.175,
21.135567,79.714087,253.9,0.242,
21.135693,79.714723,253.1,0.31,
21.13582,79.71536,253.9,0.378,0
21.13598,79.71609,255,0.455,1
21.136203,79.71679,255,0.532,1
21.136427,79.71749,254.9,0.609,0
21.13665,79.71819,255.1,0.686,0
21.13686,79.71882,256.1,0.755,1
21.13698,79.71907,256.4,0.784,1
21.13704,79.71919,256.4,0.799,1
21.13712,79.71929,256.3,0.812,1
21.13726,79.71938,256,0.83,1
21.13753,79.71955,255.5,0.865,-1
21.13798,79.71983,255.4,0.923,-1
21.13843,79.72011,255.8,0.981,0
21.1389,79.72042,256.2,1.043,1
21.13919,79.72069,256.7,1.085,1
21.13923,79.72072,256.8,1.091,1
21.13955,79.72117,257.3,1.15,1
21.13983,79.72168,258,1.211,1
21.14023,79.722483,259.1,1.306,1
21.14063,79.723287,260.8,1.4,1
21.14103,79.72409,261.1,1.495,1
21.141408,79.724862,261.6,1.585,0
21.141785,79.725635,261.1,1.676,0
21.142163,79.726408,261.5,1.766,0
21.14254,79.72718,262.2,1.857,1
21.14265,79.72739,262.8,1.882,1
21.14293,79.72794,263.8,1.947,1
21.14321,79.72849,264,2.012,1
21.14331,79.72881,264.3,2.047,1
21.14333,79.72902,264.6,2.069,1
21.14329,79.72939,265.1,2.108,1
21.14314,79.72992,265.7,2.165,1
