Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
-0.0514,37.67366,1468.3,0,
-0.05134,37.67387,1466.9,0.024,
-0.05132,37.67396,1466.3,0.035,
-0.05128,37.67414,1465.2,0.055,
-0.05108,37.675005,1457.7,0.154,
-0.05088,37.67587,1455.3,0.253,
-0.05069,37.67672,1450.8,0.35,-4
-0.05066,37.677,1449.2,0.381,-5
-0.05066,37.67729,1447.1,0.413,-5
-0.050745,37.67808,1442.5,0.502,-6
-0.05083,37.67887,1439.8,0.59,-4
-0.05094,37.67972,1438.3,0.686,-2
-0.05099,37.68018,1436.3,0.737,-2
-0.05105,37.68065,1433.4,0.79,-5
-0.0511,37.68104,1430.8,0.834,-5
-0.05115,37.68147,1427.3,0.882,-6
-0.0512,37.68186,1423.7,0.926,-7
-0.0512,37.68215,1420.4,0.958,-8
-0.05115,37.68251,1417.1,0.998,-9
-0.05107,37.68281,1415.8,1.033,-7
-0.05094,37.68314,1414.4,1.072,-5
-0.05069,37.68375,1407.8,1.146,-7
-0.05045,37.68444,1401,1.227,-9
-0.05031,37.68481,1399,1.271,-7
-0.05014,37.68532,1396.2,1.331,-5
-0.04991,37.68611,1390.6,1.423,-6
-0.04978,37.6866,1387.5,1.479,-6
-0.04967,37.6872,1383.5,1.547,-6
-0.04963,37.68749,1381.5,1.58,-6
-0.04958,37.68782,1379.3,1.617,-6
-0.04949,37.68813,1378.5,1.653,-5
-0.04936,37.68841,1377.9,1.687,-3
-0.04911,37.6889,1376.8,1.748,-2
-0.04897,37.68924,1376.7,1.789,-1
-0.04894,37.68943,1376.5,1.811,-1
-0.04893,37.68962,1376.1,1.832,-1
-0.04893,37.68998,1375.4,1.872,-1
-0.04896,37.6903,1372.4,1.908,-4
-0.04892,37.69074,1368.8,1.957,-6
-0.04883,37.69112,1367,2,-7
-0.04872,37.69146,1365.6,2.04,-5
-0.04864,37.69177,1364.5,2.076,-4
-0.04866,37.69201,1363.4,2.102,-4
-0.04884,37.69281,1359.2,2.194,-4
-0.04896,37.69351,1358.4,2.273,-3
-0.049,37.69379,1357.6,2.304,-1
-0.04899,37.69413,1356.7,2.342,-2
-0.04899,37.6946,1356.2,2.395,-2
-0.04905,37.69505,1355.8,2.445,-1
-0.0491,37.69537,1355.6,2.481,-1
-0.04914,37.69579,1354.9,2.528,-1
-0.04914,37.69608,1354.3,2.56,-1
-0.04907,37.69639,1352.9,2.596,-2
-0.04897,37.6967,1350.9,2.632,-4
-0.04884,37.69704,1347.9,2.673,-6
-0.04874,37.69734,1344.5,2.708,-7
-0.0487,37.69751,1342.5,2.727,-8
-0.04866,37.69773,1341.4,2.752,-8
-0.04866,37.69798,1340.8,2.78,-7
-0.04869,37.69819,1340.5,2.803,-6
-0.04875,37.69845,1340.6,2.833,-2
-0.04895,37.6992,1339.3,2.92,-1
-0.04909,37.69968,1337.7,2.975,-2
-0.04913,37.70003,1336.8,3.014,-2
-0.0491,37.70034,1336,3.049,-3
-0.04903,37.70064,1335.6,3.083,-2
-0.04893,37.7009,1335.3,3.114,-2
-0.04862,37.70128,1334.2,3.169,-1
-0.0482,37.70176,1333.4,3.24,-2
-0.04766,37.70233,1330,3.327,-3
-0.047325,37.702755,1327.8,3.388,-4
-0.04699,37.70318,1323.9,3.448,-5
