Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
-31.36695,-63.98317,366.6,0,
-31.367078,-63.983019,367,0.02,
-31.367205,-63.982869,366.9,0.04,
-31.367333,-63.982718,366.6,0.061,
-31.36746,-63.982567,366.2,0.081,
-31.367588,-63.982416,365.8,0.101,
-31.367716,-63.982266,365.5,0.121,-1
-31.367843,-63.982115,365.4,0.141,-1
-31.367971,-63.981964,365.5,0.161,-1
-31.368098,-63.981813,365.7,0.182,0
-31.368226,-63.981663,366,0.202,0
-31.368353,-63.981512,365.8,0.222,0
-31.368481,-63.981361,365.6,0.242,0
-31.368609,-63.98121,365.4,0.262,0
-31.368736,-63.98106,365.2,0.282,-1
-31.368864,-63.980909,365,0.303,-1
-31.368991,-63.980758,365.2,0.323,-1
-31.369119,-63.980607,365.2,0.343,0
-31.369247,-63.980457,365.2,0.363,0
-31.369374,-63.980306,365,0.383,0
-31.369502,-63.980155,364.7,0.403,0
-31.369629,-63.980005,364.4,0.424,-1
-31.369757,-63.979854,364.2,0.444,-1
-31.369885,-63.979703,364.1,0.464,-1
-31.370012,-63.979552,364,0.484,-1
-31.37014,-63.979402,364.1,0.504,-1
-31.370267,-63.979251,364.1,0.525,0
-31.370395,-63.9791,363.9,0.545,0
-31.370522,-63.978949,363.7,0.565,0
-31.37065,-63.978799,363.4,0.585,-1
-31.370778,-63.978648,363,0.605,-1
-31.370905,-63.978497,362.8,0.625,-1
-31.371033,-63.978346,362.6,0.646,-1
-31.37116,-63.978196,362.4,0.666,-1
-31.371288,-63.978045,362.4,0.686,-1
-31.371416,-63.977894,362.1,0.706,-1
-31.371543,-63.977743,362,0.726,-1
-31.371671,-63.977593,362,0.746,-1
-31.371798,-63.977442,362,0.767,0
-31.371926,-63.977291,362,0.787,0
-31.372054,-63.97714,362,0.807,0
-31.372181,-63.97699,362.1,0.827,0
-31.372309,-63.976839,362.2,0.847,0
-31.372436,-63.976688,362.3,0.867,0
-31.372564,-63.976537,362.4,0.888,0
-31.372691,-63.976387,362.3,0.908,0
-31.372819,-63.976236,362.1,0.928,0
-31.372947,-63.976085,361.9,0.948,0
-31.373074,-63.975934,361.8,0.968,-1
-31.373202,-63.975784,361.8,0.989,-1
-31.373329,-63.975633,361.8,1.009,0
-31.373457,-63.975482,361.9,1.029,0
-31.373584,-63.975331,361.8,1.049,0
-31.373712,-63.975181,361.7,1.069,0
-31.37384,-63.97503,361.7,1.089,0
-31.373967,-63.974879,361.7,1.11,0
-31.374095,-63.974728,361.9,1.13,0
-31.374222,-63.974578,362.3,1.15,0
-31.37435,-63.974427,362.4,1.17,1
-31.374478,-63.974276,362.4,1.19,1
-31.374605,-63.974125,362.4,1.21,1
-31.374733,-63.973975,362,1.231,0
-31.37486,-63.973824,361.3,1.251,-1
-31.374988,-63.973673,360.7,1.271,-2
-31.375115,-63.973522,360.1,1.291,-2
-31.375243,-63.973372,359.5,1.311,-3
-31.375371,-63.973221,359.3,1.332,-3
-31.375498,-63.97307,359.1,1.352,-2
-31.375626,-63.972919,359.1,1.372,-2
-31.375753,-63.972769,359.3,1.392,-1
-31.375881,-63.972618,359.4,1.412,0
-31.376009,-63.972467,359.6,1.432,0
-31.376136,-63.972316,359.8,1.453,1
-31.376264,-63.972165,360,1.473,1
-31.376391,-63.972015,360.2,1.493,1
-31.376519,-63.971864,360.5,1.513,1
-31.376646,-63.971713,360.7,1.533,1
-31.376774,-63.971562,360.9,1.553,1
-31.376902,-63.971412,361,1.574,1
-31.377029,-63.971261,361,1.594,1
-31.377157,-63.97111,360.9,1.614,0
-31.377284,-63.970959,360.7,1.634,0
-31.377412,-63.970809,360.5,1.654,0
-31.377539,-63.970658,360.2,1.674,-1
-31.377667,-63.970507,359.8,1.695,-1
-31.377795,-63.970356,359.6,1.715,-1
-31.377922,-63.970206,359.7,1.735,-1
-31.37805,-63.970055,360.1,1.755,0
-31.378177,-63.969904,360.4,1.775,0
-31.378305,-63.969753,360.4,1.796,1
-31.378432,-63.969602,359.7,1.816,0
-31.37856,-63.969452,359.1,1.836,-1
-31.378688,-63.969301,358.5,1.856,-2
-31.378815,-63.96915,358.3,1.876,-2
-31.378943,-63.968999,358.1,1.896,-2
-31.37907,-63.968849,358,1.917,-2
-31.379198,-63.968698,358,1.937,-1
-31.379326,-63.968547,358,1.957,-1
-31.379453,-63.968396,358.2,1.977,0
-31.379581,-63.968246,358.4,1.997,0
-31.379708,-63.968095,358.7,2.017,1
-31.379836,-63.967944,359.1,2.038,1
-31.379963,-63.967793,359.4,2.058,1
-31.380091,-63.967642,359.6,2.078,1
-31.380219,-63.967492,359.8,2.098,1
-31.380346,-63.967341,359.9,2.118,1
-31.380474,-63.96719,360,2.138,1
-31.380601,-63.967039,359.8,2.159,0
-31.380729,-63.966889,359.8,2.179,0
-31.380856,-63.966738,359.8,2.199,0
-31.380984,-63.966587,359.9,2.219,0
-31.381112,-63.966436,359.5,2.239,-1
-31.381239,-63.966285,358.2,2.26,-2
-31.381367,-63.966135,357,2.28,-3
-31.381494,-63.965984,355.8,2.3,-4
-31.381622,-63.965833,354.6,2.32,-5
-31.381749,-63.965682,354.5,2.34,-5
-31.381877,-63.965532,355.2,2.36,-3
-31.382005,-63.965381,355.8,2.381,-1
-31.382132,-63.96523,356.4,2.401,1
-31.38226,-63.965079,356.8,2.421,2
-31.382387,-63.964928,357.2,2.441,3
-31.382515,-63.964778,357.5,2.461,2
-31.382642,-63.964627,357.8,2.481,2
-31.38277,-63.964476,358,2.502,2
-31.382898,-63.964325,358.1,2.522,1
-31.383025,-63.964175,358.1,2.542,1
-31.383153,-63.964024,358,2.562,0
-31.38328,-63.963873,357.8,2.582,0
-31.383408,-63.963722,357.6,2.602,0
-31.383535,-63.963571,357.4,2.623,-1
-31.383663,-63.963421,357.2,2.643,-1
-31.38379,-63.96327,357,2.663,-1
-31.383918,-63.963119,357,2.683,-1
-31.384046,-63.962968,357,2.703,-1
-31.384173,-63.962817,357,2.724,0
-31.384301,-63.962667,357,2.744,0
-31.384428,-63.962516,357,2.764,0
-31.384556,-63.962365,357.1,2.784,0
-31.384683,-63.962214,357.2,2.804,0
-31.384811,-63.962063,357.3,2.824,0
-31.384939,-63.961913,357.3,2.845,0
-31.385066,-63.961762,357.2,2.865,0
-31.385194,-63.961611,356.8,2.885,0
-31.385321,-63.96146,356.7,2.905,-1
-31.385449,-63.96131,356.6,2.925,-1
-31.385576,-63.961159,356.6,2.945,-1
-31.385704,-63.961008,356.7,2.966,0
-31.385832,-63.960857,356.7,2.986,0
-31.385959,-63.960706,356.5,3.006,0
-31.386087,-63.960556,356.3,3.026,0
-31.386214,-63.960405,356.1,3.046,-1
-31.386342,-63.960254,355.9,3.066,-1
-31.386469,-63.960103,355.7,3.087,-1
-31.386597,-63.959952,355.5,3.107,-1
-31.386725,-63.959802,355.4,3.127,-1
-31.386852,-63.959651,355.4,3.147,-1
-31.38698,-63.9595,355.6,3.167,0
-31.387107,-63.959349,355.8,3.188,0
-31.387235,-63.959198,356,3.208,1
-31.387362,-63.959048,356,3.228,1
-31.38749,-63.958897,355.9,3.248,0
-31.387617,-63.958746,355.7,3.268,0
-31.387745,-63.958595,355.5,3.288,0
-31.387873,-63.958444,355.2,3.309,-1
-31.388,-63.958294,355.1,3.329,-1
-31.388128,-63.958143,355.2,3.349,-1
-31.388255,-63.957992,355.3,3.369,0
-31.388383,-63.957841,355.2,3.389,0
-31.38851,-63.95769,355.1,3.409,0
-31.388638,-63.95754,355,3.43,0
-31.388766,-63.957389,355.2,3.45,0
-31.388893,-63.957238,355.4,3.47,0
-31.389021,-63.957087,355.6,3.49,0
-31.389148,-63.956936,355.8,3.51,1
-31.389276,-63.956786,356,3.531,1
-31.389403,-63.956635,356,3.551,1
-31.389531,-63.956484,356,3.571,1
-31.389658,-63.956333,356,3.591,0
-31.389786,-63.956182,356,3.611,0
-31.389914,-63.956032,356,3.631,0
-31.390041,-63.955881,355.9,3.652,0
-31.390169,-63.95573,355.5,3.672,0
-31.390296,-63.955579,355.1,3.692,-1
-31.390424,-63.955428,354.8,3.712,-1
-31.390551,-63.955278,354.6,3.732,-1
-31.390679,-63.955127,354.6,3.752,-1
-31.390806,-63.954976,355,3.773,0
-31.390934,-63.954825,355.3,3.793,0
-31.391062,-63.954674,355.2,3.813,0
-31.391189,-63.954524,355.1,3.833,1
-31.391317,-63.954373,355.2,3.853,1
-31.391444,-63.954222,355.2,3.873,0
-31.391572,-63.954071,355.3,3.894,0
-31.391699,-63.95392,355.3,3.914,0
-31.391827,-63.953769,355.3,3.934,0
-31.391954,-63.953619,355.2,3.954,0
-31.392082,-63.953468,354.9,3.974,0
-31.39221,-63.953317,354.4,3.995,-1
-31.392337,-63.953166,353.9,4.015,-1
-31.392465,-63.953015,353.5,4.035,-2
-31.392592,-63.952865,353.1,4.055,-2
-31.39272,-63.952714,352.9,4.075,-2
-31.392847,-63.952563,352.8,4.095,-2
-31.392975,-63.952412,352.8,4.116,-1
-31.393102,-63.952261,352.8,4.136,-1
-31.39323,-63.95211,352.7,4.156,0
-31.393358,-63.95196,352.7,4.176,0
-31.393485,-63.951809,352.6,4.196,0
-31.393613,-63.951658,352.4,4.216,0
-31.39374,-63.951507,352.2,4.237,-1
-31.393868,-63.951356,352,4.257,-1
-31.393995,-63.951206,352,4.277,-1
-31.394123,-63.951055,352,4.297,-1
-31.39425,-63.950904,352,4.317,0
-31.394378,-63.950753,352,4.337,0
-31.394506,-63.950602,352.1,4.358,0
-31.394633,-63.950451,352.1,4.378,0
-31.394761,-63.950301,352,4.398,0
-31.394888,-63.95015,352.1,4.418,0
-31.395016,-63.949999,352.3,4.438,0
-31.395143,-63.949848,352.3,4.459,0
-31.395271,-63.949697,352.5,4.479,0
-31.395398,-63.949547,352.8,4.499,1
-31.395526,-63.949396,353.1,4.519,1
-31.395654,-63.949245,353.4,4.539,1
-31.395781,-63.949094,353.7,4.559,1
-31.395909,-63.948943,353.8,4.58,1
-31.396036,-63.948792,353.9,4.6,1
-31.396164,-63.948642,353.9,4.62,1
-31.396291,-63.948491,353.6,4.64,0
-31.396419,-63.94834,353.2,4.66,0
-31.396546,-63.948189,352.8,4.68,-1
-31.396674,-63.948038,352.2,4.701,-2
-31.396801,-63.947887,351.7,4.721,-2
-31.396929,-63.947737,351.3,4.741,-2
-31.397057,-63.947586,351,4.761,-2
-31.397184,-63.947435,350.8,4.781,-2
-31.397312,-63.947284,350.7,4.801,-2
-31.397439,-63.947133,350.9,4.822,-1
-31.397567,-63.946983,351,4.842,0
-31.397694,-63.946832,351.3,4.862,0
-31.397822,-63.946681,351.7,4.882,1
-31.397949,-63.94653,352,4.902,1
-31.398077,-63.946379,352.2,4.923,1
-31.398205,-63.946228,352.3,4.943,1
-31.398332,-63.946078,352,4.963,1
-31.39846,-63.945927,351.4,4.983,0
-31.398587,-63.945776,351.1,5.003,-1
-31.398715,-63.945625,350.9,5.023,-1
-31.398842,-63.945474,350.8,5.044,-2
-31.39897,-63.945323,350.8,5.064,-1
-31.399097,-63.945173,350.9,5.084,0
-31.399225,-63.945022,351.2,5.104,0
-31.399352,-63.944871,351.4,5.124,1
-31.39948,-63.94472,351.7,5.144,1
