Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
8.07327,40.46359,1519.5,0,
8.073327,40.463633,1519.9,0.008,
8.073385,40.463677,1520.2,0.016,
8.073442,40.46372,1520.4,0.024,
8.0735,40.463763,1520.7,0.032,
8.073557,40.463806,1520.9,0.04,
8.073615,40.46385,1520.9,0.048,3
8.073672,40.463893,1520.7,0.056,2
8.07373,40.463936,1520.6,0.064,2
8.073787,40.463979,1520.4,0.072,1
8.073845,40.464023,1520.2,0.08,1
8.073902,40.464066,1520.2,0.088,1
8.073959,40.464109,1520.1,0.096,1
8.074017,40.464152,1520.1,0.104,1
8.074074,40.464196,1520.1,0.112,0
8.074132,40.464239,1520.2,0.12,0
8.074189,40.464282,1520.2,0.128,0
8.074247,40.464325,1520.4,0.136,0
8.074304,40.464369,1520.3,0.144,-1
8.074362,40.464412,1520.1,0.152,-1
8.074419,40.464455,1520,0.16,-1
8.074476,40.464498,1519.9,0.168,-1
8.074534,40.464542,1519.7,0.175,-1
8.074591,40.464585,1519.6,0.183,-1
8.074649,40.464628,1519.4,0.191,-1
8.074706,40.464671,1519.3,0.199,-1
8.074764,40.464715,1519.1,0.207,-1
8.074821,40.464758,1519,0.215,-1
8.074879,40.464801,1518.9,0.223,-1
8.074936,40.464844,1518.9,0.231,-1
8.074994,40.464888,1519,0.239,-1
8.075051,40.464931,1519.1,0.247,-1
8.075108,40.464974,1519.3,0.255,-1
8.075166,40.465017,1519.5,0.263,-1
8.075223,40.465061,1519.7,0.271,0
8.075281,40.465104,1519.9,0.279,0
8.075338,40.465147,1520.2,0.287,1
8.075396,40.46519,1520.4,0.295,1
8.075453,40.465234,1520.7,0.303,1
8.075511,40.465277,1521,0.311,2
8.075568,40.46532,1521.4,0.319,2
8.075626,40.465363,1521.7,0.327,3
8.075683,40.465407,1521.9,0.335,3
8.07574,40.46545,1521.8,0.343,3
8.075798,40.465493,1521.8,0.351,3
8.075855,40.465536,1521.7,0.359,2
8.075913,40.46558,1521.7,0.367,2
8.07597,40.465623,1521.7,0.375,2
8.076028,40.465666,1521.7,0.383,2
8.076085,40.465709,1521.7,0.391,2
8.076143,40.465753,1521.8,0.399,1
8.0762,40.465796,1521.8,0.407,1
8.076257,40.465839,1521.8,0.415,1
8.076315,40.465882,1521.9,0.423,0
8.076372,40.465926,1522,0.431,0
8.07643,40.465969,1522,0.439,0
8.076487,40.466012,1522.1,0.447,0
8.076545,40.466055,1522.2,0.455,0
8.076602,40.466099,1522.2,0.463,0
8.07666,40.466142,1522.2,0.471,0
8.076717,40.466185,1522.1,0.479,0
8.076775,40.466228,1522,0.487,0
8.076832,40.466272,1522,0.495,0
8.076889,40.466315,1522,0.503,0
8.076947,40.466358,1522,0.511,0
8.077004,40.466401,1522,0.518,0
8.077062,40.466445,1522,0.526,0
8.077119,40.466488,1521.9,0.534,0
8.077177,40.466531,1521.9,0.542,0
8.077234,40.466575,1521.9,0.55,0
8.077292,40.466618,1521.8,0.558,0
8.077349,40.466661,1521.8,0.566,0
8.077407,40.466704,1521.7,0.574,0
8.077464,40.466748,1521.6,0.582,0
8.077521,40.466791,1521.4,0.59,-1
8.077579,40.466834,1521,0.598,-1
8.077636,40.466877,1520.5,0.606,-1
8.077694,40.466921,1520.1,0.614,-2
8.077751,40.466964,1519.7,0.622,-2
8.077809,40.467007,1519.2,0.63,-3
8.077866,40.46705,1518.8,0.638,-3
8.077924,40.467094,1518.3,0.646,-4
8.077981,40.467137,1517.8,0.654,-4
8.078038,40.46718,1517.3,0.662,-4
8.078096,40.467223,1516.8,0.67,-5
8.078153,40.467267,1516.3,0.678,-5
8.078211,40.46731,1515.7,0.686,-6
8.078268,40.467353,1515.2,0.694,-6
8.078326,40.467396,1514.7,0.702,-6
8.078383,40.46744,1514.1,0.71,-6
8.078441,40.467483,1513.6,0.718,-6
8.078498,40.467526,1513.2,0.726,-6
8.078556,40.467569,1512.7,0.734,-6
8.078613,40.467613,1512.3,0.742,-6
8.07867,40.467656,1511.9,0.75,-6
8.078728,40.467699,1511.4,0.758,-6
8.078785,40.467742,1511,0.766,-6
8.078843,40.467786,1510.5,0.774,-6
8.0789,40.467829,1510.1,0.782,-6
8.078958,40.467872,1509.7,0.79,-6
8.079015,40.467915,1509.2,0.798,-6
8.079073,40.467959,1508.8,0.806,-6
8.07913,40.468002,1508.2,0.814,-6
8.079187,40.468045,1507.6,0.822,-6
8.079245,40.468088,1507,0.83,-6
8.079302,40.468132,1506.4,0.838,-6
8.07936,40.468175,1505.7,0.846,-6
8.079417,40.468218,1505,0.854,-7
8.079475,40.468261,1504.3,0.861,-7
8.079532,40.468305,1503.6,0.869,-7
8.07959,40.468348,1502.9,0.877,-7
8.079647,40.468391,1502.3,0.885,-8
8.079705,40.468434,1501.6,0.893,-8
8.079762,40.468478,1501,0.901,-8
8.079819,40.468521,1500.4,0.909,-8
8.079877,40.468564,1499.8,0.917,-8
8.079934,40.468607,1499.2,0.925,-8
8.079992,40.468651,1498.6,0.933,-8
8.080049,40.468694,1498,0.941,-8
8.080107,40.468737,1497.4,0.949,-8
8.080164,40.46878,1496.9,0.957,-8
8.080222,40.468824,1496.3,0.965,-8
8.080279,40.468867,1495.7,0.973,-8
8.080337,40.46891,1495,0.981,-8
8.080394,40.468954,1494.4,0.989,-8
8.080451,40.468997,1493.7,0.997,-8
8.080509,40.46904,1493,1.005,-8
8.080566,40.469083,1492.3,1.013,-8
8.080624,40.469127,1491.6,1.021,-8
8.080681,40.46917,1490.9,1.029,-8
8.080739,40.469213,1490.3,1.037,-8
8.080796,40.469256,1489.6,1.045,-8
8.080854,40.4693,1489,1.053,-8
8.080911,40.469343,1488.4,1.061,-8
8.080968,40.469386,1487.7,1.069,-8
8.081026,40.469429,1487.1,1.077,-8
8.081083,40.469473,1486.5,1.085,-8
8.081141,40.469516,1485.9,1.093,-8
8.081198,40.469559,1485.3,1.101,-8
8.081256,40.469602,1484.7,1.109,-8
8.081313,40.469646,1484.2,1.117,-8
8.081371,40.469689,1483.7,1.125,-8
8.081428,40.469732,1483.2,1.133,-7
8.081486,40.469775,1482.8,1.141,-7
8.081543,40.469819,1482.3,1.149,-7
8.0816,40.469862,1481.9,1.157,-7
8.081658,40.469905,1481.6,1.165,-7
8.081715,40.469948,1481.3,1.173,-6
8.081773,40.469992,1481,1.181,-6
8.08183,40.470035,1480.8,1.189,-6
8.081888,40.470078,1480.8,1.197,-5
8.081945,40.470121,1480.9,1.204,-4
8.082003,40.470165,1480.9,1.212,-4
8.08206,40.470208,1481,1.22,-3
8.082117,40.470251,1481.2,1.228,-2
8.082175,40.470294,1481.4,1.236,-2
8.082232,40.470338,1481.6,1.244,-1
8.08229,40.470381,1481.8,1.252,0
8.082347,40.470424,1482.1,1.26,0
8.082405,40.470467,1482.4,1.268,1
8.082462,40.470511,1482.7,1.276,1
8.08252,40.470554,1483.1,1.284,2
8.082577,40.470597,1483.5,1.292,3
8.082635,40.47064,1483.9,1.3,3
8.082692,40.470684,1484.4,1.308,3
8.082749,40.470727,1484.8,1.316,4
8.082807,40.47077,1485.2,1.324,4
8.082864,40.470813,1485.6,1.332,4
8.082922,40.470857,1486,1.34,5
8.082979,40.4709,1486.4,1.348,5
8.083037,40.470943,1486.6,1.356,5
8.083094,40.470986,1486.9,1.364,5
8.083152,40.47103,1487.1,1.372,5
8.083209,40.471073,1487.3,1.38,4
8.083267,40.471116,1487.3,1.388,4
8.083324,40.47116,1487.4,1.396,4
8.083381,40.471203,1487.4,1.404,3
8.083439,40.471246,1487.5,1.412,3
8.083496,40.471289,1487.6,1.42,3
8.083554,40.471333,1487.6,1.428,2
8.083611,40.471376,1487.7,1.436,2
8.083669,40.471419,1487.8,1.444,2
8.083726,40.471462,1487.8,1.452,1
8.083784,40.471506,1487.9,1.46,1
8.083841,40.471549,1487.9,1.468,1
8.083898,40.471592,1488,1.476,1
8.083956,40.471635,1488.2,1.484,1
8.084013,40.471679,1488.3,1.492,1
8.084071,40.471722,1488.5,1.5,1
8.084128,40.471765,1488.6,1.508,1
8.084186,40.471808,1488.8,1.516,1
8.084243,40.471852,1489,1.524,1
8.084301,40.471895,1489.2,1.532,2
8.084358,40.471938,1489.4,1.54,2
8.084416,40.471981,1489.6,1.547,2
8.084473,40.472025,1489.9,1.555,2
8.08453,40.472068,1490.1,1.563,2
8.084588,40.472111,1490.3,1.571,2
8.084645,40.472154,1490.5,1.579,2
8.084703,40.472198,1490.7,1.587,2
8.08476,40.472241,1490.9,1.595,2
8.084818,40.472284,1491,1.603,2
8.084875,40.472327,1491.1,1.611,2
8.084933,40.472371,1491.1,1.619,2
8.08499,40.472414,1491.1,1.627,2
8.085047,40.472457,1491.1,1.635,2
8.085105,40.4725,1491.1,1.643,2
8.085162,40.472544,1491.1,1.651,1
8.08522,40.472587,1491,1.659,1
8.085277,40.47263,1490.9,1.667,1
8.085335,40.472673,1490.7,1.675,0
8.085392,40.472717,1490.5,1.683,0
8.08545,40.47276,1490.4,1.691,0
8.085507,40.472803,1490.2,1.699,-1
8.085565,40.472846,1490,1.707,-1
8.085622,40.47289,1489.9,1.715,-1
8.085679,40.472933,1489.7,1.723,-1
8.085737,40.472976,1489.5,1.731,-2
8.085794,40.47302,1489.2,1.739,-2
8.085852,40.473063,1488.9,1.747,-2
8.085909,40.473106,1488.6,1.755,-2
8.085967,40.473149,1488.2,1.763,-3
8.086024,40.473193,1487.7,1.771,-3
8.086082,40.473236,1487.3,1.779,-3
8.086139,40.473279,1486.8,1.787,-4
8.086196,40.473322,1486.3,1.795,-4
8.086254,40.473366,1485.9,1.803,-4
8.086311,40.473409,1485.4,1.811,-4
8.086369,40.473452,1485,1.819,-5
8.086426,40.473495,1484.5,1.827,-5
8.086484,40.473539,1484,1.835,-5
8.086541,40.473582,1483.6,1.843,-5
8.086599,40.473625,1483.1,1.851,-6
8.086656,40.473668,1482.8,1.859,-6
8.086714,40.473712,1482.6,1.867,-5
8.086771,40.473755,1482.4,1.875,-5
8.086828,40.473798,1482.2,1.883,-5
8.086886,40.473841,1482,1.89,-5
8.086943,40.473885,1481.8,1.898,-4
8.087001,40.473928,1481.6,1.906,-4
8.087058,40.473971,1481.5,1.914,-4
8.087116,40.474014,1481.3,1.922,-3
8.087173,40.474058,1481.2,1.93,-3
8.087231,40.474101,1481.1,1.938,-3
8.087288,40.474144,1481,1.946,-3
8.087345,40.474187,1481,1.954,-2
8.087403,40.474231,1481,1.962,-2
8.08746,40.474274,1481.1,1.97,-1
