Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
50.85454,10.77115,460.2,0,
50.85453,10.771268,459.8,0.008,
50.85452,10.771386,459.5,0.017,
50.854509,10.771504,459.5,0.025,
50.854499,10.771623,459.3,0.034,
50.854489,10.771741,458.9,0.042,
50.854479,10.771859,458.4,0.05,-3
50.854468,10.771977,457.7,0.059,-4
50.854458,10.772095,456.9,0.067,-5
50.854448,10.772213,456.1,0.075,-5
50.854438,10.772332,455.5,0.084,-6
50.854428,10.77245,455.1,0.092,-5
50.854417,10.772568,454.7,0.101,-5
50.854407,10.772686,454.5,0.109,-5
50.854397,10.772804,454.3,0.117,-5
50.854387,10.772922,454.2,0.126,-5
50.854376,10.773041,454.2,0.134,-5
50.854366,10.773159,454.1,0.142,-5
50.854356,10.773277,454.1,0.151,-4
50.854346,10.773395,454.2,0.159,-3
50.854336,10.773513,454.3,0.168,-3
50.854325,10.773631,454.4,0.176,-2
50.854315,10.77375,454.4,0.184,-1
50.854305,10.773868,454.3,0.193,-1
50.854295,10.773986,454.2,0.201,0
50.854284,10.774104,454.4,0.21,0
50.854274,10.774222,454.5,0.218,0
50.854264,10.77434,454.3,0.226,0
50.854254,10.774459,454.2,0.235,0
50.854244,10.774577,454.2,0.243,0
50.854233,10.774695,453.9,0.251,0
50.854223,10.774813,453.6,0.26,-1
50.854213,10.774931,453.6,0.268,-1
50.854203,10.775049,453.4,0.277,-1
50.854192,10.775168,453,0.285,-1
50.854182,10.775286,452.6,0.293,-2
50.854172,10.775404,452,0.302,-2
50.854162,10.775522,451.4,0.31,-3
50.854152,10.77564,450.7,0.318,-4
50.854141,10.775758,449.9,0.327,-4
50.854131,10.775876,449.1,0.335,-5
50.854121,10.775995,448.4,0.344,-6
50.854111,10.776113,448.1,0.352,-6
50.8541,10.776231,447.8,0.36,-6
50.85409,10.776349,447.6,0.369,-6
50.85408,10.776467,447.9,0.377,-5
50.85407,10.776585,448.1,0.386,-5
50.85406,10.776704,448.3,0.394,-4
50.854049,10.776822,448.4,0.402,-4
50.854039,10.77694,448.2,0.411,-3
50.854029,10.777058,448.1,0.419,-3
50.854019,10.777176,448,0.427,-2
50.854008,10.777294,447.7,0.436,-1
50.853998,10.777413,447.2,0.444,-1
50.853988,10.777531,447,0.453,-1
50.853978,10.777649,447,0.461,-1
50.853967,10.777767,446.7,0.469,-1
50.853957,10.777885,446.7,0.478,-1
50.853947,10.778003,446.7,0.486,-1
50.853937,10.778122,446.6,0.495,-2
50.853927,10.77824,446.4,0.503,-2
50.853916,10.778358,446.1,0.511,-2
50.853906,10.778476,445.7,0.52,-2
50.853896,10.778594,445.7,0.528,-2
50.853886,10.778712,445.6,0.536,-2
50.853875,10.778831,445.4,0.545,-2
50.853865,10.778949,445.3,0.553,-2
50.853855,10.779067,445.2,0.562,-2
50.853845,10.779185,445.1,0.57,-2
50.853835,10.779303,444.8,0.578,-2
50.853824,10.779421,444.5,0.587,-2
50.853814,10.779539,444.5,0.595,-2
50.853804,10.779658,444.4,0.603,-2
50.853794,10.779776,444.3,0.612,-2
50.853783,10.779894,444.1,0.62,-2
50.853773,10.780012,444.1,0.629,-2
50.853763,10.78013,444,0.637,-2
50.853753,10.780248,444.1,0.645,-1
50.853742,10.780367,444,0.654,-1
50.853732,10.780485,444,0.662,-1
50.853722,10.780603,444,0.671,-1
50.853712,10.780721,444,0.679,-1
50.853702,10.780839,443.8,0.687,-1
50.853691,10.780957,443.5,0.696,-1
50.853681,10.781076,443.6,0.704,-1
50.853671,10.781194,443.4,0.712,-1
50.853661,10.781312,443.3,0.721,-1
50.85365,10.78143,442.9,0.729,-1
50.85364,10.781548,442.4,0.738,-2
50.85363,10.781666,442.3,0.746,-2
50.85362,10.781785,442.6,0.754,-1
50.853609,10.781903,442.5,0.763,-2
50.853599,10.782021,442.2,0.771,-2
50.853589,10.782139,442,0.779,-2
50.853579,10.782257,441.6,0.788,-2
50.853569,10.782375,441.5,0.796,-2
50.853558,10.782493,441.8,0.805,-2
50.853548,10.782612,441.9,0.813,-2
50.853538,10.78273,441.8,0.821,-2
50.853528,10.782848,441.8,0.83,-1
50.853517,10.782966,441.9,0.838,-1
50.853507,10.783084,441.9,0.847,0
50.853497,10.783202,441.5,0.855,-1
50.853487,10.783321,441.5,0.863,-1
50.853476,10.783439,441.4,0.872,-1
50.853466,10.783557,441.4,0.88,-1
50.853456,10.783675,441.3,0.888,0
50.853446,10.783793,441.4,0.897,0
50.853436,10.783911,441.2,0.905,-1
50.853425,10.78403,440.8,0.914,-1
50.853415,10.784148,440.6,0.922,-1
50.853405,10.784266,440.5,0.93,-1
50.853395,10.784384,440.1,0.939,-2
50.853384,10.784502,440,0.947,-2
50.853374,10.78462,440,0.955,-2
50.853364,10.784738,440.1,0.964,-1
50.853354,10.784857,440.1,0.972,-1
50.853343,10.784975,439.8,0.981,-2
50.853333,10.785093,439.5,0.989,-2
