Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
-11.46105,-74.54322,1205.3,0,
-11.461109,-74.543276,1204.1,0.009,
-11.461167,-74.543332,1202.8,0.018,
-11.461226,-74.543388,1201.5,0.027,
-11.461285,-74.543444,1200.1,0.036,
-11.461344,-74.543499,1198.8,0.045,
-11.461402,-74.543555,1197.4,0.054,-15
-11.461461,-74.543611,1196.1,0.063,-15
-11.46152,-74.543667,1194.8,0.071,-15
-11.461578,-74.543723,1193.1,0.08,-15
-11.461637,-74.543779,1191.5,0.089,-15
-11.461696,-74.543835,1190,0.098,-16
-11.461754,-74.543891,1188.4,0.107,-16
-11.461813,-74.543946,1187,0.116,-16
-11.461872,-74.544002,1185.6,0.125,-16
-11.461931,-74.544058,1184.2,0.134,-16
-11.461989,-74.544114,1183,0.143,-16
-11.462048,-74.54417,1181.7,0.152,-16
-11.462107,-74.544226,1180.6,0.161,-16
-11.462165,-74.544282,1179.4,0.17,-16
-11.462224,-74.544338,1179,0.179,-15
-11.462283,-74.544393,1178.6,0.188,-14
-11.462342,-74.544449,1178.2,0.197,-12
-11.4624,-74.544505,1177.8,0.206,-11
-11.462459,-74.544561,1177.3,0.214,-10
-11.462518,-74.544617,1176.7,0.223,-10
-11.462576,-74.544673,1176.1,0.232,-9
-11.462635,-74.544729,1175.5,0.241,-8
-11.462694,-74.544785,1174.7,0.25,-8
-11.462753,-74.544841,1174,0.259,-7
-11.462811,-74.544896,1173.1,0.268,-7
-11.46287,-74.544952,1172.2,0.277,-7
-11.462929,-74.545008,1171.1,0.286,-7
-11.462987,-74.545064,1170.2,0.295,-8
-11.463046,-74.54512,1169.2,0.304,-8
-11.463105,-74.545176,1168.3,0.313,-9
-11.463163,-74.545232,1167.4,0.322,-9
-11.463222,-74.545288,1166.4,0.331,-10
-11.463281,-74.545343,1165.5,0.34,-10
-11.46334,-74.545399,1164.5,0.349,-10
-11.463398,-74.545455,1163.6,0.357,-10
-11.463457,-74.545511,1162.7,0.366,-11
-11.463516,-74.545567,1161.7,0.375,-11
-11.463574,-74.545623,1160.7,0.384,-11
-11.463633,-74.545679,1159.8,0.393,-11
-11.463692,-74.545735,1160,0.402,-10
-11.463751,-74.54579,1160.2,0.411,-8
-11.463809,-74.545846,1160.6,0.42,-7
-11.463868,-74.545902,1161,0.429,-6
-11.463927,-74.545958,1161.6,0.438,-5
-11.463985,-74.546014,1162.2,0.447,-3
-11.464044,-74.54607,1162.9,0.456,-1
-11.464103,-74.546126,1163.8,0.465,0
-11.464161,-74.546182,1164.7,0.474,2
-11.46422,-74.546238,1165.8,0.483,4
-11.464279,-74.546293,1167.5,0.492,6
-11.464338,-74.546349,1169.3,0.5,9
-11.464396,-74.546405,1171.1,0.509,10
-11.464455,-74.546461,1172.6,0.518,12
-11.464514,-74.546517,1174,0.527,13
-11.464572,-74.546573,1175.3,0.536,13
-11.464631,-74.546629,1176.4,0.545,14
-11.46469,-74.546685,1177.4,0.554,14
-11.464749,-74.54674,1178.3,0.563,14
-11.464807,-74.546796,1179,0.572,14
-11.464866,-74.546852,1179.6,0.581,14
-11.464925,-74.546908,1180.1,0.59,13
-11.464983,-74.546964,1180.8,0.599,12
-11.465042,-74.54702,1181.6,0.608,11
-11.465101,-74.547076,1182.2,0.617,10
-11.465159,-74.547132,1182.8,0.626,10
-11.465218,-74.547187,1183.3,0.635,9
-11.465277,-74.547243,1183.7,0.643,8
-11.465336,-74.547299,1184,0.652,7
-11.465394,-74.547355,1184.1,0.661,6
-11.465453,-74.547411,1184.2,0.67,6
-11.465512,-74.547467,1184.2,0.679,5
-11.46557,-74.547523,1184.1,0.688,4
-11.465629,-74.547579,1183.8,0.697,3
-11.465688,-74.547635,1183.3,0.706,2
-11.465747,-74.54769,1182.6,0.715,1
-11.465805,-74.547746,1182.2,0.724,0
-11.465864,-74.547802,1182.6,0.733,0
-11.465923,-74.547858,1182.8,0.742,0
-11.465981,-74.547914,1182.9,0.751,-1
-11.46604,-74.54797,1182.9,0.76,-1
-11.466099,-74.548026,1182.8,0.769,-1
-11.466157,-74.548082,1182.6,0.778,-2
