Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
6.09031,-70.94833,127,0,
6.090321,-70.948259,127.1,0.008,
6.090332,-70.948188,127.1,0.016,
6.090342,-70.948117,127.2,0.024,
6.090353,-70.948046,127.3,0.032,
6.090364,-70.947975,127.4,0.04,
6.090375,-70.947905,127.5,0.048,1
6.090385,-70.947834,127.6,0.056,1
6.090396,-70.947763,127.7,0.064,1
6.090407,-70.947692,127.7,0.071,1
6.090418,-70.947621,127.8,0.079,1
6.090429,-70.94755,127.7,0.087,1
6.090439,-70.947479,127.6,0.095,1
6.09045,-70.947408,127.5,0.103,0
6.090461,-70.947337,127.4,0.111,0
6.090472,-70.947266,127.3,0.119,0
6.090483,-70.947196,127.3,0.127,0
6.090493,-70.947125,127.2,0.135,0
6.090504,-70.947054,127.1,0.143,0
6.090515,-70.946983,127,0.151,0
6.090526,-70.946912,127,0.159,-1
6.090536,-70.946841,127,0.167,-1
6.090547,-70.94677,127,0.175,-1
6.090558,-70.946699,127,0.183,-1
6.090569,-70.946628,127,0.191,-1
6.09058,-70.946557,127,0.198,-1
6.09059,-70.946487,127,0.206,0
6.090601,-70.946416,127,0.214,0
6.090612,-70.946345,127,0.222,0
6.090623,-70.946274,127,0.23,0
6.090634,-70.946203,127,0.238,0
6.090644,-70.946132,127,0.246,0
6.090655,-70.946061,127,0.254,0
6.090666,-70.94599,127,0.262,0
6.090677,-70.945919,127,0.27,0
6.090687,-70.945848,127,0.278,0
6.090698,-70.945778,127,0.286,0
6.090709,-70.945707,127,0.294,0
6.09072,-70.945636,127,0.302,0
6.090731,-70.945565,127,0.31,0
6.090741,-70.945494,127.1,0.318,0
6.090752,-70.945423,127.2,0.326,0
6.090763,-70.945352,127.3,0.333,0
6.090774,-70.945281,127.4,0.341,0
6.090785,-70.94521,127.5,0.349,1
6.090795,-70.945139,127.7,0.357,1
6.090806,-70.945069,127.8,0.365,1
6.090817,-70.944998,127.9,0.373,1
6.090828,-70.944927,128,0.381,1
6.090838,-70.944856,127.9,0.389,1
6.090849,-70.944785,127.8,0.397,1
6.09086,-70.944714,127.7,0.405,1
6.090871,-70.944643,127.6,0.413,1
6.090882,-70.944572,127.5,0.421,0
6.090892,-70.944501,127.4,0.429,0
6.090903,-70.94443,127.3,0.437,0
6.090914,-70.94436,127.2,0.445,0
6.090925,-70.944289,127.1,0.453,0
6.090936,-70.944218,127,0.46,-1
