Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
-33.77111,151.11984,48.2,0,
-33.77111,151.11986,48.1,0.002,
-33.77117,151.11994,47.1,0.012,
-33.77119,151.11995,46.9,0.014,
-33.7712,151.11996,46.7,0.016,
-33.77121,151.11996,46.7,0.017,
-33.77123,151.11995,46.8,0.019,-7
-33.77125,151.11994,46.9,0.022,-6
-33.77127,151.11991,47.5,0.025,-3
-33.771625,151.11954,50.1,0.077,2
-33.77198,151.11917,50,0.13,2
-33.7721,151.11934,48.7,0.15,1
-33.77211,151.11935,48.7,0.152,1
-33.77212,151.11935,48.7,0.153,1
-33.77213,151.11936,48.8,0.154,1
-33.77214,151.11936,48.8,0.156,1
-33.77215,151.11936,48.8,0.157,1
-33.77216,151.11935,48.8,0.158,1
-33.77217,151.11935,48.8,0.159,1
-33.77218,151.11935,48.8,0.16,1
-33.77219,151.11934,48.8,0.162,1
-33.77227,151.11927,48.4,0.173,1
-33.77245,151.11908,46.9,0.199,-3
-33.77263,151.11889,49.4,0.226,0
-33.77277,151.11874,52.6,0.247,2
-33.77285,151.11866,53.7,0.259,5
-33.77289,151.11862,54.1,0.264,5
-33.77293,151.11857,54.4,0.271,5
-33.77309,151.11838,55,0.296,5
-33.77294,151.11825,56,0.316,8
-33.77289,151.1182,56.2,0.324,7
-33.7728,151.11813,56.4,0.336,6
-33.77275,151.11808,56.6,0.343,6
-33.77251,151.11789,57.2,0.375,3
-33.77248,151.11787,57.2,0.379,3
-33.77232,151.11772,57.5,0.401,2
-33.7723,151.1177,57.5,0.404,2
-33.77216,151.11759,57.3,0.423,1
-33.77208,151.11751,57.4,0.434,1
-33.77198,151.11743,57.5,0.448,1
-33.77181,151.11729,56.5,0.471,0
-33.77178,151.11728,56.3,0.474,0
-33.77179,151.11727,56.3,0.475,-1
-33.77179,151.11726,56.3,0.476,-1
-33.77179,151.11725,56.3,0.477,-1
-33.77179,151.11724,56.3,0.478,-1
-33.77179,151.11723,56.3,0.479,-1
-33.77179,151.11722,56.3,0.48,-1
-33.77179,151.11721,56.2,0.481,-1
-33.77179,151.1172,56.2,0.482,-1
-33.77178,151.1172,56.2,0.483,-1
-33.77178,151.11719,56.2,0.484,-1
-33.77177,151.11718,56.2,0.485,-1
-33.77176,151.11717,56.2,0.487,-1
-33.77175,151.11716,56.2,0.488,-1
-33.77174,151.11716,56.2,0.489,-1
-33.77173,151.11716,56.2,0.491,-1
-33.77173,151.11715,56.2,0.491,-1
-33.77172,151.11715,56.2,0.493,-1
-33.77171,151.11715,56.2,0.494,-1
-33.77171,151.11716,56.2,0.495,-1
-33.7717,151.11716,56.2,0.496,-1
-33.77169,151.11716,56.2,0.497,-1
-33.77169,151.11717,56.2,0.498,-1
-33.77168,151.11717,56.2,0.499,-1
-33.77168,151.11718,56.1,0.5,-1
-33.77167,151.11718,56.1,0.501,-1
-33.77167,151.11719,56.1,0.502,-1
-33.77161,151.11713,56.3,0.511,-1
-33.77156,151.11709,56.6,0.517,-1
-33.7715,151.11704,56.9,0.525,0
-33.77145,151.117,56.9,0.532,0
-33.77083,151.11651,52.8,0.615,-3
-33.77059,151.11633,49.9,0.646,-6
-33.77014,151.11599,44.3,0.705,-7
-33.76987,151.11578,42.5,0.741,-8
-33.76969,151.11563,43.6,0.765,-5
-33.7695,151.11547,45,0.791,-3
-33.76936,151.11536,45.1,0.81,1
-33.76916,151.11519,48,0.837,3
-33.76907,151.11511,47.7,0.85,5
-33.76899,151.11504,48.6,0.861,5
-33.7689,151.11496,48.4,0.873,4
-33.76882,151.11487,48.3,0.885,4
-33.76874,151.11477,49,0.898,4
-33.7686,151.11459,51.3,0.921,6
-33.76837,151.11426,52.8,0.961,4
-33.76824,151.11408,54.6,0.983,6
-33.76816,151.11397,55.6,0.996,7
-33.76796,151.1137,59.4,1.03,7
-33.76787,151.11356,60.1,1.046,7
-33.76755,151.11311,64.2,1.101,8
-33.76753,151.11303,65,1.109,8
-33.7674,151.11281,65.2,1.134,6
-33.7674,151.1128,65.2,1.135,6
-33.7674,151.11279,65.3,1.135,6
-33.7674,151.11278,65.3,1.136,6
-33.7674,151.11277,65.4,1.137,6
-33.7674,151.11276,65.4,1.138,6
-33.76754,151.11258,65.7,1.161,5
-33.76757,151.11251,65.8,1.168,5
-33.768015,151.112055,67.3,1.233,2
-33.76846,151.1116,67.4,1.298,1
-33.76847,151.11159,67.4,1.3,1
-33.76887,151.11118,67.9,1.358,0
-33.769525,151.11051,70.1,1.454,2
-33.77018,151.10984,71.8,1.55,2
-33.77034,151.10967,71.6,1.574,1
-33.77042,151.10958,70.9,1.586,1
-33.77049,151.10948,70.7,1.598,0
-33.77054,151.10937,71,1.609,1
-33.77058,151.10932,71.2,1.616,1
-33.77063,151.10918,71.2,1.63,1
-33.77064,151.10918,71.3,1.631,1
-33.77065,151.10918,71.4,1.632,1
-33.77066,151.10918,71.5,1.633,1
-33.77066,151.10917,71.4,1.634,1
-33.77067,151.10917,71.6,1.635,1
-33.77068,151.10916,71.6,1.637,1
-33.77068,151.10915,71.6,1.638,1
-33.77069,151.10915,71.7,1.639,1
-33.77091,151.10911,73.7,1.664,2
-33.77099,151.10903,74.3,1.675,3
-33.77112,151.10891,75.1,1.693,4
-33.7713,151.10867,75.1,1.723,4
-33.77138,151.10859,76,1.735,5
-33.77178,151.10817,78.1,1.794,3
-33.77188,151.10807,78.2,1.808,3
-33.77196,151.10798,78.8,1.821,3
-33.77211,151.10782,79.9,1.843,4
-33.77221,151.10771,80.3,1.858,3
-33.77229,151.10762,80.2,1.87,3
-33.77238,151.10753,80.1,1.883,3
-33.7724,151.10752,80.1,1.886,3
-33.77279,151.10712,80.7,1.943,2
-33.77295,151.10695,80.3,1.967,0
