Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
52.06748,-2.84812,67.1,0,
52.067553,-2.848074,67.2,0.009,
52.067627,-2.848028,67.3,0.018,
52.0677,-2.847982,67.3,0.026,
52.067774,-2.847936,67.3,0.035,
52.067847,-2.84789,67.3,0.044,
52.067921,-2.847844,67.3,0.053,0
52.067994,-2.847798,67.3,0.061,0
52.068068,-2.847752,67.3,0.07,0
52.068141,-2.847705,67.2,0.079,0
52.068215,-2.847659,67.1,0.088,0
52.068288,-2.847613,67.1,0.096,0
52.068361,-2.847567,67,0.105,0
52.068435,-2.847521,66.8,0.114,0
52.068508,-2.847475,66.8,0.123,0
52.068582,-2.847429,66.7,0.131,-1
52.068655,-2.847383,66.6,0.14,-1
52.068729,-2.847337,66.5,0.149,-1
52.068802,-2.847291,66.4,0.158,-1
52.068876,-2.847245,66.3,0.167,-1
52.068949,-2.847199,66.1,0.175,-1
52.069023,-2.847153,66,0.184,-1
52.069096,-2.847107,65.8,0.193,-1
52.069169,-2.847061,65.6,0.202,-1
52.069243,-2.847015,65.4,0.21,-1
52.069316,-2.846968,65.2,0.219,-2
52.06939,-2.846922,65,0.228,-2
52.069463,-2.846876,64.7,0.237,-2
52.069537,-2.84683,64.5,0.245,-2
52.06961,-2.846784,64.3,0.254,-2
52.069684,-2.846738,64.1,0.263,-2
52.069757,-2.846692,63.9,0.272,-2
52.06983,-2.846646,63.8,0.28,-2
52.069904,-2.8466,63.7,0.289,-2
52.069977,-2.846554,63.6,0.298,-2
52.070051,-2.846508,63.5,0.307,-2
52.070124,-2.846462,63.4,0.315,-2
52.070198,-2.846416,63.3,0.324,-2
52.070271,-2.84637,63.2,0.333,-2
52.070345,-2.846324,63.1,0.342,-2
52.070418,-2.846278,63,0.351,-1
52.070492,-2.846231,63,0.359,-1
52.070565,-2.846185,63,0.368,-1
52.070638,-2.846139,63,0.377,-1
52.070712,-2.846093,63,0.386,-1
52.070785,-2.846047,63.1,0.394,-1
52.070859,-2.846001,63.1,0.403,0
52.070932,-2.845955,63.2,0.412,0
52.071006,-2.845909,63.3,0.421,0
52.071079,-2.845863,63.4,0.429,0
52.071153,-2.845817,63.6,0.438,0
52.071226,-2.845771,63.9,0.447,1
52.0713,-2.845725,64.1,0.456,1
52.071373,-2.845679,64.4,0.464,1
52.071446,-2.845633,64.7,0.473,2
52.07152,-2.845587,65,0.482,2
52.071593,-2.84554,65.3,0.491,2
52.071667,-2.845494,65.6,0.5,2
52.07174,-2.845448,66,0.508,3
52.071814,-2.845402,65.9,0.517,3
52.071887,-2.845356,65.8,0.526,2
52.071961,-2.84531,65.6,0.535,2
52.072034,-2.845264,65.5,0.543,2
52.072108,-2.845218,65.3,0.552,1
52.072181,-2.845172,65.2,0.561,1
52.072254,-2.845126,65.1,0.57,1
52.072328,-2.84508,64.9,0.578,0
52.072401,-2.845034,64.8,0.587,0
52.072475,-2.844988,64.7,0.596,-1
52.072548,-2.844942,64.6,0.605,-1
52.072622,-2.844895,64.6,0.613,-1
52.072695,-2.844849,64.6,0.622,-1
52.072769,-2.844803,64.5,0.631,-1
52.072842,-2.844757,64.4,0.64,-1
52.072915,-2.844711,64.4,0.648,-1
52.072989,-2.844665,64.4,0.657,-1
52.073062,-2.844619,64.3,0.666,-1
52.073136,-2.844573,64.3,0.675,-1
52.073209,-2.844527,64.5,0.684,0
52.073283,-2.844481,64.8,0.692,0
52.073356,-2.844435,65,0.701,0
52.07343,-2.844389,65.2,0.71,1
52.073503,-2.844343,65.4,0.719,1
52.073577,-2.844297,65.5,0.727,1
52.07365,-2.844251,65.7,0.736,1
52.073723,-2.844204,65.8,0.745,1
52.073797,-2.844158,66,0.754,1
52.07387,-2.844112,66.3,0.762,2
52.073944,-2.844066,66.9,0.771,2
52.074017,-2.84402,67.4,0.78,3
52.074091,-2.843974,68,0.789,3
52.074164,-2.843928,68.5,0.797,4
52.074238,-2.843882,69,0.806,4
52.074311,-2.843836,69.6,0.815,4
52.074385,-2.84379,70.1,0.824,5
52.074458,-2.843744,70.6,0.833,5
52.074531,-2.843698,71.2,0.841,5
52.074605,-2.843652,71.6,0.85,6
52.074678,-2.843605,72.2,0.859,6
52.074752,-2.843559,72.7,0.868,6
52.074825,-2.843513,73.2,0.876,6
52.074899,-2.843467,73.8,0.885,6
52.074972,-2.843421,74.4,0.894,6
52.075046,-2.843375,74.9,0.903,6
52.075119,-2.843329,75.4,0.911,6
52.075192,-2.843283,76,0.92,6
52.075266,-2.843237,76.2,0.929,6
52.075339,-2.843191,76.4,0.938,6
52.075413,-2.843145,76.6,0.946,5
52.075486,-2.843099,76.8,0.955,5
52.07556,-2.843053,77.1,0.964,5
52.075633,-2.843007,77.3,0.973,4
52.075707,-2.84296,77.5,0.981,4
52.07578,-2.842914,77.7,0.99,4
52.075854,-2.842868,77.9,0.999,3
52.075927,-2.842822,78.1,1.008,3
52.076,-2.842776,78.3,1.017,3
52.076074,-2.84273,78.6,1.025,2
52.076147,-2.842684,78.8,1.034,2
52.076221,-2.842638,78.9,1.043,2
52.076294,-2.842592,79.1,1.052,2
52.076368,-2.842546,79.2,1.06,2
52.076441,-2.8425,79.4,1.069,2
52.076515,-2.842454,79.5,1.078,2
52.076588,-2.842408,79.6,1.087,2
52.076662,-2.842361,79.7,1.095,2
52.076735,-2.842315,79.8,1.104,2
52.076808,-2.842269,79.9,1.113,2
52.076882,-2.842223,80.1,1.122,2
52.076955,-2.842177,80.2,1.13,2
52.077029,-2.842131,80.4,1.139,2
52.077102,-2.842085,80.6,1.148,2
52.077176,-2.842039,80.8,1.157,2
52.077249,-2.841993,81,1.166,2
52.077323,-2.841947,81.2,1.174,2
52.077396,-2.841901,81.4,1.183,2
52.077469,-2.841855,81.6,1.192,2
52.077543,-2.841808,81.8,1.201,2
52.077616,-2.841762,82.1,1.209,2
52.07769,-2.841716,82.3,1.218,2
52.077763,-2.84167,82.5,1.227,2
52.077837,-2.841624,82.7,1.236,2
52.07791,-2.841578,82.9,1.244,2
52.077984,-2.841532,83.2,1.253,3
52.078057,-2.841486,83.6,1.262,3
52.078131,-2.84144,84.1,1.271,3
52.078204,-2.841394,84.5,1.279,3
52.078277,-2.841348,84.9,1.288,3
52.078351,-2.841302,85.4,1.297,4
52.078424,-2.841256,85.8,1.306,4
52.078498,-2.841209,86.3,1.314,4
52.078571,-2.841163,86.7,1.323,4
52.078645,-2.841117,87.1,1.332,4
52.078718,-2.841071,87.4,1.341,4
52.078792,-2.841025,87.7,1.35,5
52.078865,-2.840979,88,1.358,5
52.078938,-2.840933,88.4,1.367,4
52.079012,-2.840887,88.7,1.376,4
52.079085,-2.840841,89,1.385,4
52.079159,-2.840795,89.3,1.393,4
52.079232,-2.840749,89.6,1.402,4
52.079306,-2.840703,90,1.411,4
52.079379,-2.840656,90.1,1.42,4
52.079453,-2.84061,90.2,1.428,3
52.079526,-2.840564,90.4,1.437,3
52.0796,-2.840518,90.4,1.446,3
52.079673,-2.840472,90.5,1.455,3
52.079746,-2.840426,90.5,1.463,2
52.07982,-2.84038,90.5,1.472,2
52.079893,-2.840334,90.5,1.481,2
52.079967,-2.840288,90.5,1.49,1
52.08004,-2.840242,90.4,1.499,1
52.080114,-2.840196,90.3,1.507,1
