Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
37.04067,127.91375,72,0,
37.040654,127.913855,72,0.01,
37.040638,127.91396,72,0.019,
37.040622,127.914065,72,0.029,
37.040606,127.91417,72,0.038,
37.040589,127.914275,72,0.048,
37.040573,127.91438,72,0.057,0
37.040557,127.914485,72,0.067,0
37.040541,127.91459,72.1,0.076,0
37.040525,127.914695,72.3,0.086,0
37.040509,127.9148,72.4,0.095,0
37.040493,127.914905,72.6,0.105,1
37.040477,127.91501,72.7,0.114,1
37.040461,127.915115,72.9,0.124,1
37.040445,127.91522,73,0.133,1
37.040428,127.915325,73.2,0.143,1
37.040412,127.91543,73.3,0.152,1
37.040396,127.915535,73.5,0.162,1
37.04038,127.91564,73.7,0.171,2
37.040364,127.915745,73.9,0.181,2
37.040348,127.91585,74.1,0.19,2
37.040332,127.915956,74,0.2,1
37.040316,127.916061,73.7,0.209,1
37.0403,127.916166,73.5,0.219,1
37.040283,127.916271,73.2,0.228,0
37.040267,127.916376,73,0.238,0
37.040251,127.916481,72.7,0.247,0
37.040235,127.916586,72.4,0.257,-1
37.040219,127.916691,72.2,0.266,-1
37.040203,127.916796,71.9,0.276,-2
37.040187,127.916901,71.7,0.285,-2
37.040171,127.917006,71.4,0.295,-3
37.040155,127.917111,71.1,0.304,-3
37.040138,127.917216,70.9,0.314,-3
37.040122,127.917321,70.9,0.323,-2
37.040106,127.917426,71,0.333,-2
37.04009,127.917531,71.1,0.342,-2
37.040074,127.917636,71.3,0.352,-1
37.040058,127.917741,71.4,0.361,-1
37.040042,127.917846,71.5,0.371,-1
37.040026,127.917951,71.6,0.38,0
37.04001,127.918056,71.8,0.39,0
37.039993,127.918161,72.1,0.399,1
37.039977,127.918266,72.4,0.409,1
37.039961,127.918371,72.7,0.418,2
37.039945,127.918476,73,0.428,2
37.039929,127.918581,73.3,0.437,2
37.039913,127.918686,73.5,0.447,2
37.039897,127.918791,73.5,0.456,2
37.039881,127.918896,73.6,0.466,2
37.039865,127.919001,73.7,0.475,2
37.039848,127.919106,73.8,0.485,2
37.039832,127.919211,73.8,0.494,2
37.039816,127.919316,73.9,0.504,2
37.0398,127.919421,74.3,0.513,2
37.039784,127.919526,74.8,0.523,2
37.039768,127.919631,75.3,0.532,2
37.039752,127.919736,75.8,0.542,2
37.039736,127.919841,76.3,0.551,3
37.03972,127.919946,76.8,0.561,3
37.039703,127.920051,77.1,0.57,3
37.039687,127.920156,77.2,0.58,3
37.039671,127.920261,77.4,0.589,3
37.039655,127.920367,77.5,0.599,4
37.039639,127.920472,77.7,0.608,4
37.039623,127.920577,77.8,0.618,3
37.039607,127.920682,78,0.627,3
37.039591,127.920787,78.6,0.637,3
37.039575,127.920892,79.2,0.646,3
37.039558,127.920997,79.9,0.656,3
37.039542,127.921102,80.5,0.665,4
37.039526,127.921207,81.2,0.675,4
37.03951,127.921312,81.8,0.684,4
37.039494,127.921417,82.4,0.694,5
37.039478,127.921522,82.7,0.703,5
37.039462,127.921627,83.1,0.713,5
37.039446,127.921732,83.5,0.722,5
37.03943,127.921837,83.9,0.732,6
37.039413,127.921942,84.3,0.741,5
37.039397,127.922047,84.7,0.751,5
37.039381,127.922152,84.6,0.76,5
37.039365,127.922257,84.4,0.77,4
37.039349,127.922362,84.2,0.779,3
37.039333,127.922467,84,0.789,2
37.039317,127.922572,83.7,0.798,1
37.039301,127.922677,83.5,0.808,1
37.039285,127.922782,83.2,0.817,0
37.039268,127.922887,82.9,0.827,-1
37.039252,127.922992,82.5,0.836,-1
37.039236,127.923097,82.2,0.846,-2
37.03922,127.923202,81.8,0.855,-3
37.039204,127.923307,81.4,0.865,-3
37.039188,127.923412,81,0.874,-3
37.039172,127.923517,81.2,0.884,-3
37.039156,127.923622,81.6,0.893,-2
37.03914,127.923727,82,0.903,-2
37.039123,127.923832,82.4,0.912,-1
37.039107,127.923937,82.8,0.922,0
37.039091,127.924042,83.3,0.931,0
37.039075,127.924147,83.9,0.941,1
37.039059,127.924252,84.9,0.95,3
37.039043,127.924357,86,0.96,4
37.039027,127.924462,87,0.969,5
37.039011,127.924567,88,0.979,7
37.038994,127.924672,89.1,0.988,8
37.038978,127.924777,90.1,0.998,8
37.038962,127.924882,90.8,1.007,8
37.038946,127.924987,91.4,1.017,9
37.03893,127.925092,92.1,1.026,9
37.038914,127.925197,92.8,1.036,9
37.038898,127.925303,93.5,1.045,9
37.038882,127.925408,94.3,1.055,9
37.038866,127.925513,94.9,1.064,9
37.038849,127.925618,94.9,1.074,7
37.038833,127.925723,94.8,1.083,7
37.038817,127.925828,94.8,1.093,6
37.038801,127.925933,94.8,1.102,5
37.038785,127.926038,94.9,1.112,4
37.038769,127.926143,94.9,1.121,3
37.038753,127.926248,94.4,1.131,2
37.038737,127.926353,93.7,1.14,1
37.038721,127.926458,92.9,1.15,-1
37.038704,127.926563,92.1,1.159,-2
37.038688,127.926668,91.4,1.169,-3
37.038672,127.926773,90.6,1.178,-4
37.038656,127.926878,89.8,1.188,-5
37.03864,127.926983,88.8,1.197,-6
37.038624,127.927088,87.8,1.207,-7
37.038608,127.927193,86.7,1.216,-8
37.038592,127.927298,85.6,1.226,-9
37.038575,127.927403,84.5,1.235,-10
37.038559,127.927508,83.3,1.245,-10
37.038543,127.927613,82.6,1.254,-10
37.038527,127.927718,82.2,1.264,-10
37.038511,127.927823,81.7,1.273,-9
37.038495,127.927928,81.3,1.283,-9
37.038479,127.928033,80.8,1.292,-9
37.038463,127.928138,80.3,1.302,-8
37.038447,127.928243,79.9,1.311,-8
37.03843,127.928348,79.9,1.321,-7
37.038414,127.928453,79.9,1.33,-5
37.038398,127.928558,79.9,1.34,-4
37.038382,127.928663,79.9,1.349,-3
37.038366,127.928768,79.9,1.359,-3
37.03835,127.928873,80,1.368,-2
37.038334,127.928978,80,1.378,-2
37.038318,127.929083,80.1,1.387,-1
37.038301,127.929188,80.2,1.397,-1
37.038285,127.929293,80.2,1.406,0
37.038269,127.929398,80.3,1.416,0
37.038253,127.929503,80.4,1.425,1
37.038237,127.929608,80.5,1.435,1
37.038221,127.929713,80.5,1.444,1
37.038205,127.929818,80.6,1.454,1
37.038189,127.929923,80.7,1.463,1
37.038172,127.930028,80.8,1.473,1
37.038156,127.930133,80.8,1.482,1
37.03814,127.930238,80.9,1.492,1
37.038124,127.930343,80.9,1.501,1
37.038108,127.930448,81,1.511,1
37.038092,127.930553,81,1.52,1
37.038076,127.930658,81,1.53,1
37.03806,127.930764,81,1.539,0
37.038044,127.930869,81,1.549,0
37.038027,127.930974,80.9,1.558,0
37.038011,127.931079,80.8,1.568,0
37.037995,127.931184,80.6,1.577,0
37.037979,127.931289,80.4,1.587,0
37.037963,127.931394,80.3,1.596,-1
37.037947,127.931499,80.1,1.606,-1
37.037931,127.931604,79.9,1.615,-1
37.037915,127.931709,79.8,1.625,-1
37.037898,127.931814,79.8,1.634,-1
37.037882,127.931919,79.8,1.644,-1
37.037866,127.932024,79.7,1.653,-1
37.03785,127.932129,79.7,1.663,-1
37.037834,127.932234,79.6,1.672,-1
37.037818,127.932339,79.6,1.682,-1
37.037802,127.932444,79.5,1.691,-1
37.037786,127.932549,79.4,1.701,-1
37.037769,127.932654,79.3,1.711,-1
37.037753,127.932759,79.2,1.72,-1
37.037737,127.932864,79.1,1.73,-1
37.037721,127.932969,79,1.739,-1
37.037705,127.933074,78.9,1.749,-1
37.037689,127.933179,78.8,1.758,-1
37.037673,127.933284,78.6,1.768,-1
37.037657,127.933389,78.5,1.777,-1
37.03764,127.933494,78.4,1.787,-1
37.037624,127.933599,78.4,1.796,-1
37.037608,127.933704,78.3,1.806,-1
37.037592,127.933809,78.5,1.815,-1
37.037576,127.933914,78.7,1.825,-1
37.03756,127.934019,78.9,1.834,0
37.037544,127.934124,79.1,1.844,0
37.037528,127.934229,79.2,1.853,0
37.037511,127.934334,79.4,1.863,1
37.037495,127.934439,79.5,1.872,1
37.037479,127.934544,79.7,1.882,1
37.037463,127.934649,79.8,1.891,1
37.037447,127.934754,80,1.901,2
37.037431,127.934859,80.1,1.91,2
37.037415,127.934964,80.2,1.92,2
37.037399,127.935069,80.3,1.929,2
37.037382,127.935174,80.6,1.939,2
37.037366,127.935279,80.9,1.948,2
37.03735,127.935384,81.3,1.958,2
37.037334,127.935489,81.6,1.967,2
37.037318,127.935594,81.9,1.977,2
37.037302,127.935699,82.3,1.986,2
37.037286,127.935804,82.5,1.996,3
37.03727,127.935909,82.6,2.005,2
37.037253,127.936014,82.6,2.015,2
37.037237,127.936119,82.6,2.024,2
37.037221,127.936224,82.6,2.034,2
37.037205,127.936329,82.7,2.043,2
