Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
7.13519,-1.73487,333.9,0,
7.135032,-1.734805,333,0.019,
7.134875,-1.734741,332,0.038,
7.134717,-1.734676,330.9,0.057,
7.134559,-1.734611,329.7,0.076,
7.134402,-1.734547,328.4,0.095,
7.134244,-1.734482,327.1,0.114,-6
7.134086,-1.734418,326.2,0.133,-6
7.133929,-1.734353,325.4,0.152,-6
7.133771,-1.734288,324.5,0.171,-6
7.133614,-1.734224,323.6,0.189,-5
7.133456,-1.734159,322.6,0.208,-5
7.133298,-1.734094,321.6,0.227,-5
7.133141,-1.73403,320.5,0.246,-5
7.132983,-1.733965,319.4,0.265,-5
7.132825,-1.733901,318.3,0.284,-5
7.132668,-1.733836,317.3,0.303,-5
7.13251,-1.733771,316.4,0.322,-5
7.132352,-1.733707,315.8,0.341,-5
7.132195,-1.733642,315.2,0.36,-5
7.132037,-1.733577,315.3,0.379,-4
7.131879,-1.733513,315.4,0.398,-3
7.131722,-1.733448,315.5,0.417,-2
7.131564,-1.733383,315.6,0.436,-1
7.131406,-1.733319,315.8,0.455,0
7.131249,-1.733254,316,0.474,1
7.131091,-1.73319,316.4,0.493,1
7.130934,-1.733125,316.7,0.512,1
7.130776,-1.73306,317.5,0.53,2
7.130618,-1.732996,318.9,0.549,3
7.130461,-1.732931,320.2,0.568,4
7.130303,-1.732866,321.3,0.587,5
7.130145,-1.732802,322.3,0.606,5
7.129988,-1.732737,322.9,0.625,5
7.12983,-1.732672,323.5,0.644,5
7.129672,-1.732608,324,0.663,5
7.129515,-1.732543,324.6,0.682,4
7.129357,-1.732479,325,0.701,3
7.129199,-1.732414,325.3,0.72,3
7.129042,-1.732349,325.8,0.739,3
7.128884,-1.732285,326.5,0.758,3
7.128727,-1.73222,327.1,0.777,3
7.128569,-1.732155,327.8,0.796,3
7.128411,-1.732091,328.5,0.815,3
7.128254,-1.732026,329.4,0.834,4
7.128096,-1.731962,330.5,0.853,4
7.127938,-1.731897,331.3,0.872,4
7.127781,-1.731832,332,0.89,4
7.127623,-1.731768,332.6,0.909,4
7.127465,-1.731703,333.1,0.928,4
7.127308,-1.731638,333.5,0.947,4
7.12715,-1.731574,333.9,0.966,3
7.126992,-1.731509,334.5,0.985,3
7.126835,-1.731445,335.2,1.004,3
7.126677,-1.73138,336,1.023,3
7.126519,-1.731315,336.6,1.042,3
7.126362,-1.731251,337.1,1.061,3
7.126204,-1.731186,337.4,1.08,3
7.126047,-1.731121,337.6,1.099,3
7.125889,-1.731057,337.7,1.118,2
7.125731,-1.730992,337.7,1.137,2
7.125574,-1.730927,337.8,1.156,1
7.125416,-1.730863,337.8,1.175,1
7.125258,-1.730798,337.9,1.194,0
7.125101,-1.730734,338,1.213,0
7.124943,-1.730669,338,1.231,0
7.124785,-1.730604,338.1,1.25,0
7.124628,-1.73054,338.1,1.269,0
7.12447,-1.730475,338.1,1.288,0
7.124312,-1.73041,337.9,1.307,0
7.124155,-1.730346,337.6,1.326,0
7.123997,-1.730281,337.2,1.345,-1
7.123839,-1.730217,336.6,1.364,-1
7.123682,-1.730152,336,1.383,-2
7.123524,-1.730087,335.4,1.402,-2
7.123367,-1.730023,334.9,1.421,-3
7.123209,-1.729958,334.4,1.44,-3
7.123051,-1.729893,333.8,1.459,-3
7.122894,-1.729829,333.3,1.478,-3
7.122736,-1.729764,332.7,1.497,-3
7.122578,-1.729699,332,1.516,-3
7.122421,-1.729635,331.7,1.535,-3
7.122263,-1.72957,331.2,1.554,-3
7.122105,-1.729506,330.5,1.572,-3
7.121948,-1.729441,329.6,1.591,-3
7.12179,-1.729376,328.5,1.61,-4
7.121632,-1.729312,327.4,1.629,-4
7.121475,-1.729247,326.3,1.648,-5
7.121317,-1.729182,325.4,1.667,-5
7.121159,-1.729118,324.5,1.686,-5
7.121002,-1.729053,324,1.705,-5
7.120844,-1.728989,323.5,1.724,-4
7.120687,-1.728924,322.9,1.743,-4
7.120529,-1.728859,322.2,1.762,-4
7.120371,-1.728795,321.3,1.781,-4
7.120214,-1.72873,320.5,1.8,-4
7.120056,-1.728665,319.7,1.819,-4
7.119898,-1.728601,319,1.838,-4
7.119741,-1.728536,317.9,1.857,-4
7.119583,-1.728472,316.5,1.876,-5
7.119425,-1.728407,315.2,1.895,-5
7.119268,-1.728342,313.9,1.914,-6
7.11911,-1.728278,312.6,1.932,-6
7.118952,-1.728213,310.7,1.951,-7
7.118795,-1.728148,309,1.97,-8
7.118637,-1.728084,307.3,1.989,-8
7.118479,-1.728019,305.8,2.008,-8
7.118322,-1.727955,305.2,2.027,-8
7.118164,-1.72789,305,2.046,-7
7.118007,-1.727825,304.9,2.065,-5
7.117849,-1.727761,305.1,2.084,-3
7.117691,-1.727696,305.5,2.103,-2
7.117534,-1.727631,306.1,2.122,0
7.117376,-1.727567,306.8,2.141,1
7.117218,-1.727502,307.4,2.16,2
7.117061,-1.727437,308.2,2.179,3
7.116903,-1.727373,309.3,2.198,4
7.116745,-1.727308,310.4,2.217,4
7.116588,-1.727244,311.8,2.236,5
7.11643,-1.727179,313.3,2.255,6
7.116272,-1.727114,315,2.273,7
7.116115,-1.72705,316.5,2.292,7
7.115957,-1.726985,318,2.311,8
7.115799,-1.72692,319.5,2.33,8
7.115642,-1.726856,320.5,2.349,8
7.115484,-1.726791,321,2.368,7
7.115327,-1.726727,321.5,2.387,6
7.115169,-1.726662,321.9,2.406,5
7.115011,-1.726597,322.2,2.425,4
7.114854,-1.726533,321.2,2.444,2
7.114696,-1.726468,320.4,2.463,0
7.114538,-1.726403,319.7,2.482,-1
7.114381,-1.726339,319.1,2.501,-2
7.114223,-1.726274,318.8,2.52,-3
7.114065,-1.72621,318.6,2.539,-3
7.113908,-1.726145,318.3,2.558,-3
7.11375,-1.72608,317.9,2.577,-2
7.113592,-1.726016,317.9,2.596,-2
7.113435,-1.725951,318.5,2.615,-1
7.113277,-1.725886,319,2.633,0
7.113119,-1.725822,319.4,2.652,1
7.112962,-1.725757,319.7,2.671,1
7.112804,-1.725693,321.2,2.69,3
7.112647,-1.725628,322.5,2.709,4
7.112489,-1.725563,323.7,2.728,5
7.112331,-1.725499,324.9,2.747,5
7.112174,-1.725434,326,2.766,6
7.112016,-1.725369,327.2,2.785,7
7.111858,-1.725305,328.2,2.804,6
7.111701,-1.72524,329.3,2.823,6
7.111543,-1.725176,329.7,2.842,5
7.111385,-1.725111,328.7,2.861,3
7.111228,-1.725046,327.6,2.88,1
7.11107,-1.724982,326.4,2.899,-1
7.110912,-1.724917,325.1,2.918,-3
7.110755,-1.724852,324.6,2.937,-4
7.110597,-1.724788,324.5,2.956,-5
7.110439,-1.724723,324.5,2.974,-4
7.110282,-1.724659,324.6,2.993,-3
7.110124,-1.724594,324.8,3.012,-1
7.109967,-1.724529,325.2,3.031,0
7.109809,-1.724465,325.6,3.05,1
7.109651,-1.7244,326,3.069,1
7.109494,-1.724335,326.5,3.088,2
7.109336,-1.724271,327.1,3.107,2
7.109178,-1.724206,327.7,3.126,3
7.109021,-1.724142,327.8,3.145,2
7.108863,-1.724077,327.2,3.164,1
7.108705,-1.724012,325.9,3.183,0
7.108548,-1.723948,324.4,3.202,-2
7.10839,-1.723883,322.9,3.221,-4
7.108232,-1.723818,321.4,3.24,-6
7.108075,-1.723754,319.7,3.259,-7
7.107917,-1.723689,317.9,3.278,-8
7.107759,-1.723625,316.1,3.297,-9
7.107602,-1.72356,314.5,3.315,-9
7.107444,-1.723495,313,3.334,-9
7.107287,-1.723431,312,3.353,-8
7.107129,-1.723366,310.9,3.372,-8
7.106971,-1.723301,309.8,3.391,-7
7.106814,-1.723237,308.5,3.41,-7
7.106656,-1.723172,307.6,3.429,-6
7.106498,-1.723108,306.9,3.448,-5
7.106341,-1.723043,306.4,3.467,-5
7.106183,-1.722978,306,3.486,-4
7.106025,-1.722914,305.8,3.505,-4
7.105868,-1.722849,305.9,3.524,-2
7.10571,-1.722784,306,3.543,-1
7.105552,-1.72272,306.3,3.562,-1
7.105395,-1.722655,306.6,3.581,0
7.105237,-1.722591,306.8,3.6,1
7.105079,-1.722526,307,3.619,1
7.104922,-1.722461,307.1,3.638,1
7.104764,-1.722397,307.2,3.657,1
7.104607,-1.722332,307.3,3.675,1
7.104449,-1.722267,307.4,3.694,1
7.104291,-1.722203,307.6,3.713,1
7.104134,-1.722138,307.9,3.732,1
7.103976,-1.722074,307.8,3.751,1
7.103818,-1.722009,307.4,3.77,0
7.103661,-1.721944,307.1,3.789,0
7.103503,-1.72188,306.9,3.808,0
7.103345,-1.721815,306.8,3.827,-1
7.103188,-1.72175,306.3,3.846,-1
7.10303,-1.721686,305.6,3.865,-2
7.102872,-1.721621,304.8,3.884,-2
7.102715,-1.721557,303.7,3.903,-3
7.102557,-1.721492,302.8,3.922,-4
7.102399,-1.721427,301.9,3.941,-4
7.102242,-1.721363,300.7,3.96,-5
7.102084,-1.721298,299.3,3.979,-6
7.101927,-1.721233,297.7,3.998,-6
7.101769,-1.721169,295.9,4.016,-7
7.101611,-1.721104,294.1,4.035,-8
7.101454,-1.72104,292.3,4.054,-8
7.101296,-1.720975,290.5,4.073,-9
7.101138,-1.72091,289.2,4.092,-9
7.100981,-1.720846,288,4.111,-9
7.100823,-1.720781,287,4.13,-8
7.100665,-1.720716,286.1,4.149,-7
7.100508,-1.720652,285.4,4.168,-6
7.10035,-1.720587,284.6,4.187,-5
7.100192,-1.720523,283.8,4.206,-5
7.100035,-1.720458,283.1,4.225,-4
7.099877,-1.720393,282.6,4.244,-4
7.099719,-1.720329,283,4.263,-3
7.099562,-1.720264,283.5,4.282,-2
7.099404,-1.720199,284.1,4.301,0
7.099246,-1.720135,284.8,4.32,1
7.099089,-1.72007,286.4,4.339,3
7.098931,-1.720006,288.4,4.358,5
7.098774,-1.719941,290.8,4.376,7
7.098616,-1.719876,293.2,4.395,8
7.098458,-1.719812,294.9,4.414,9
7.098301,-1.719747,295.9,4.433,10
7.098143,-1.719682,296.8,4.452,9
7.097985,-1.719618,297.6,4.471,8
7.097828,-1.719553,298.2,4.49,6
7.09767,-1.719489,297.7,4.509,4
7.097512,-1.719424,297.1,4.528,2
7.097355,-1.719359,296.4,4.547,0
7.097197,-1.719295,295.7,4.566,-1
7.097039,-1.71923,295.5,4.585,-2
7.096882,-1.719165,295.3,4.604,-2
7.096724,-1.719101,295.1,4.623,-2
7.096566,-1.719036,294.8,4.642,-2
7.096409,-1.718972,295.3,4.661,-1
7.096251,-1.718907,296.8,4.68,1
7.096094,-1.718842,297.9,4.699,2
7.095936,-1.718778,298.8,4.717,3
7.095778,-1.718713,299.4,4.736,4
7.095621,-1.718648,301.2,4.755,6
7.095463,-1.718584,302.9,4.774,7
7.095305,-1.718519,304.5,4.793,7
7.095148,-1.718455,305.9,4.812,7
7.09499,-1.71839,307.1,4.831,7
